"Country","Service","year","export"
"USA","Financial","2021",2.9954
"USA","Telecommunications, Computer & Information","2021",3.7389
"USA","Charges For The Use Of Intellectual Property","2021",0.3482
"USA","Personal, Cultural And Recreational","2021",0.7194
"USA","Trade-Related","2021",0.5624
"USA","Business Management","2021",5.7776
"USA","Other Services","2021",3.6754
"UK","Manufacturing Services On Physical Inputs Owned By Others","2021",0
"UK","Maintenance And Repair Services","2021",0.7685
"UK","Transport","2021",5.4022
"UK","Insurance","2021",0.2871
"UK","Construction","2021",0
"UK","Financial","2021",2.5699
"UK","Telecommunications, Computer & Information","2021",0.9314
"UK","Charges For The Use Of Intellectual Property","2021",0.0847
"UK","Personal, Cultural And Recreational","2021",0.1529
"UK","Trade-Related","2021",0.2023
"UK","Business Management","2021",3.3855
"UK","Other Services","2021",1.4204
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2021",0
"Australia","Maintenance And Repair Services","2021",0.304
"Australia","Transport","2021",6.3967
"Australia","Insurance","2021",0.9298
"Australia","Construction","2021",0.0444
"Australia","Financial","2021",2.5151
"Australia","Telecommunications, Computer & Information","2021",3.2375
"Australia","Charges For The Use Of Intellectual Property","2021",0.4567
"Australia","Personal, Cultural And Recreational","2021",0.0912
"Australia","Trade-Related","2021",1.0817
"Australia","Business Management","2021",1.9021
"Australia","Other Services","2021",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2020",0
"Japan","Maintenance And Repair Services","2020",1.0253
"Japan","Transport","2020",4.9136
"Japan","Insurance","2020",0.6198
"Japan","Construction","2020",0.0136
"Japan","Financial","2020",1.3616
"Japan","Telecommunications, Computer & Information","2020",3.8574
"Japan","Charges For The Use Of Intellectual Property","2020",0.5166
"Japan","Personal, Cultural And Recreational","2020",0.0763
"Japan","Trade-Related","2020",0.1688
"Japan","Business Management","2020",3.2222
"Japan","Other Services","2020",0
"China","Manufacturing Services On Physical Inputs Owned By Others","2020",0.0026
"China","Maintenance And Repair Services","2020",0.5763
"China","Transport","2020",10.7447
"China","Insurance","2020",1.0139
"China","Construction","2020",0.092
"China","Financial","2020",2.7087
"China","Telecommunications, Computer & Information","2020",1.7823
"China","Charges For The Use Of Intellectual Property","2020",0.6792
"China","Personal, Cultural And Recreational","2020",0.0218
"China","Trade-Related","2020",0.9509
"China","Business Management","2020",0.7347
"China","Other Services","2020",1.9117
"USA","Manufacturing Services On Physical Inputs Owned By Others","2020",0.0155
"USA","Maintenance And Repair Services","2020",2.7657
"USA","Transport","2020",14.8734
"USA","Insurance","2020",0.3658
"USA","Construction","2020",0.0097
"USA","Financial","2020",2.6772
"USA","Telecommunications, Computer & Information","2020",3.1325
"USA","Charges For The Use Of Intellectual Property","2020",0.4562
"USA","Personal, Cultural And Recreational","2020",0.3526
"USA","Trade-Related","2020",0.4704
"USA","Business Management","2020",5.2486
"USA","Other Services","2020",3.0587
"UK","Manufacturing Services On Physical Inputs Owned By Others","2020",0
"UK","Maintenance And Repair Services","2020",0.2552
"UK","Transport","2020",3.2233
"UK","Insurance","2020",0.2394
"UK","Construction","2020",0
"UK","Financial","2020",2.23
"UK","Telecommunications, Computer & Information","2020",0.8841
"UK","Charges For The Use Of Intellectual Property","2020",0.3196
"UK","Personal, Cultural And Recreational","2020",0.0235
"UK","Trade-Related","2020",0.333
"UK","Business Management","2020",3.0637
"UK","Other Services","2020",0.8556
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2020",0
"Australia","Maintenance And Repair Services","2020",0.2564
"Australia","Transport","2020",4.874
"Australia","Insurance","2020",0.5873
"Australia","Construction","2020",0.0303
"Australia","Financial","2020",2.2756
"Australia","Telecommunications, Computer & Information","2020",3.0607
"Australia","Charges For The Use Of Intellectual Property","2020",0.4241
"Australia","Personal, Cultural And Recreational","2020",0.0594
"Australia","Trade-Related","2020",0.7142
"Australia","Business Management","2020",1.8119
"Australia","Other Services","2020",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2019",0
"Japan","Maintenance And Repair Services","2019",1.0898
"Japan","Transport","2019",4.8437
"Japan","Insurance","2019",0.9228
"Japan","Construction","2019",0.0354
"Japan","Financial","2019",1.4841
"Japan","Telecommunications, Computer & Information","2019",3.0026
"Japan","Charges For The Use Of Intellectual Property","2019",0.4928
"Japan","Personal, Cultural And Recreational","2019",0.0622
"Japan","Trade-Related","2019",0.6982
"Japan","Business Management","2019",3.2632
"Japan","Other Services","2019",0
"China","Manufacturing Services On Physical Inputs Owned By Others","2019",0.0066
"China","Maintenance And Repair Services","2019",0.7929
"China","Transport","2019",11.9125
"China","Insurance","2019",1.0618
"China","Construction","2019",0.0735
"China","Financial","2019",2.4502
"China","Telecommunications, Computer & Information","2019",0.7971
"China","Charges For The Use Of Intellectual Property","2019",0.9995
"China","Personal, Cultural And Recreational","2019",0.0201
"China","Trade-Related","2019",2.0394
"China","Business Management","2019",0.7596
"China","Other Services","2019",1.7034
"USA","Manufacturing Services On Physical Inputs Owned By Others","2019",0.0257
"USA","Maintenance And Repair Services","2019",2.7279
"USA","Transport","2019",12.0908
"USA","Insurance","2019",0.2617
"USA","Construction","2019",0.0103
"USA","Financial","2019",2.0693
"USA","Telecommunications, Computer & Information","2019",2.4979
"USA","Charges For The Use Of Intellectual Property","2019",0.2642
"USA","Personal, Cultural And Recreational","2019",0.53
"USA","Trade-Related","2019",0.6536
"USA","Business Management","2019",5.4375
"USA","Other Services","2019",2.7081
"UK","Manufacturing Services On Physical Inputs Owned By Others","2019",NA
"UK","Maintenance And Repair Services","2019",0.4537
"UK","Transport","2019",3.8575
"UK","Insurance","2019",0.2155
"UK","Construction","2019",0
"UK","Financial","2019",4.1407
"UK","Telecommunications, Computer & Information","2019",0.4947
"UK","Charges For The Use Of Intellectual Property","2019",0.2201
"UK","Personal, Cultural And Recreational","2019",0
"UK","Trade-Related","2019",0.5287
"UK","Business Management","2019",3.0584
"UK","Other Services","2019",0.6438
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2019",0
"Australia","Maintenance And Repair Services","2019",0.3643
"Australia","Transport","2019",6.6944
"Australia","Insurance","2019",0.5548
"Australia","Construction","2019",0.0709
"Australia","Financial","2019",2.1384
